content,score
"Blibli offers a premium shopping experience with curated products and reliable authenticity guarantees. Customer service is responsive, packaging is always good, and deliveries arrive within the estimated timeframe. Great for electronics and official brand products.",5
"eror terus tidak dapat mendaftar atau login,tolong dibantu",1
baru nyoba nanti kalo cepat pengiriman nya tambah lagi 1 bintang.😁🙏,4
"€ Alhamdulillah dapat saldo di shopeepay 5juta dengan kode referral diatas, makasih shopee €",5
"mantap, saya suka interface nya",5
"kurang recomend , cicilan ga bisa di bikin 3-12x ciccil , metode pembayaran ga komplit , seperti qris dompet digital ,",1
Sangat Rekomendasi,5
Aplikasi yg Sangat wort-it 👑,5
ribet banget ini aplikasi mau top up aja harus daftar bank dulu 👎,1
pertahankan,4
mantap bener,5
mantap,5
ga ada cod khusus pengguna baru ya 🗿,5
Sukses buat Bli Bli,4
baru mencoba,5
ga ada diskon malazz,1
fitur makin lengkap keren blibli belanja makin mudah,5
𝕔𝕒𝕣𝕒 𝕡𝕖𝕟𝕘𝕚𝕣𝕚𝕞𝕒𝕟𝕟𝕪𝕒 𝕡𝕣𝕚𝕠𝕣𝕚𝕥𝕒𝕤 𝕘𝕒𝕜 𝕪𝕒 𝕥𝕖𝕡𝕒𝕥 𝕥𝕒𝕟𝕘𝕘𝕒𝕝𝕟𝕪𝕒 𝕖𝕤𝕥𝕚𝕞𝕒𝕤𝕚 𝕘𝕒𝕜 𝕪𝕒,5
sangat cocok dengan semua nyaaa suka sekali,5
Blibli offers quality products and excellent customer service.,5
desain menarik dan bisa pake cc juga,5
murah2 banyak voucher,5
mantap,5
oce,5
aplikasi ini sangat membantu enaknya barang yg kita beli tidak pernah ketipu.,5
amanah,4
ayo tambah lagi produk nya semangat bli bli,5
Mantab......solusi cepat....👍👍,5
Original barang2 nya dan setiap di kirim toko2 official nya selalu memperhatikan barang nya dan mengemas dengan bagus dn mengemas dengan box at kardus yang kuat dan aman jadi tidak rugi tidak seperti toko sebelah yang mengirim dengan box tembel2 dan tidak aman,5
sumpah ini sebenarnya apk nya bagus tapi udah GK bisa cod udah ongkir nya mahal lagi hadehh,2
Gak bisa login terus,2
good,5
"Barang originalnya terjamin, ada garansi Blibli. Belanja elektronik sama tiket aman banget. Voucher + Blibli Points juga kepake. Pengiriman cepet, packing rapi",5
good job,5
aplikasinya mantap freeongkir pdhal luar jawa. thankyou,5
mantap,5
mantapppp,5
bagus,5
mantap moga bermanfaat 🙏🏻👍🏻👍🏻,5
"tolong dong kembangin lagi biar banyak trafiknya,bakar uang dulu biar pada pindah dari marketplace sebelah",5
"beli pulsa disini, status gagal, pulsa ga masuk, duit nya tidak segera dibalikin, aplikasi parah², suka nahan duit orang, komplen ke cs gaada gunanya",1
respon cepat cuma kurang gratis ongkir cuma diskon ongkir yang banyak,5
"sistem customer servis nya payah,",1
"cs sigap, setelah mengalami kendala untuk proses refund selama 2 hari. cs akhirnya membantu dan sedang diproses, terimakasih banyak cs. apresiasi sekali",5
semoga lebih maju pengembangannya min,5
"Alhamdulillah, MasyaaAllah, Barakallahufiikum.",5
beli barang lebih gampang dan mudah,5
Pelayanan baik dan aplikasinya nyaman digunakan untuk berbelanja online.,5
Mantap Original,5
mantap,5
"aplikasi busuk, ngelag parah sampe gak muncul2 gambar produknya",1
"mantapp, proses cepat, dan aman",5
mantap,5
lancar transaksinya,5
mendukung produk indonesia,5
terbaik👍💯,5
mantul beli di blibli store,5
👍,4
👍👍👍👍👍,5
mantap,5
TERBAIK and FAST requesting,5
bagus,5
"banyak diskonnya, dan juga bisa tuker poin❤",5
"second choice marketplace, tp produknya masih kurang lengkap. utk belanja kebutuhan rumah tangga/sayuran bisa sehari sampai.",4
ok bgtt,5
"harga barang lebih mahal dr mrktplace lain. eh pas pake paylater bunganya juga lbh mahal.... bangkrut dah konsumen. padahal di yg lain jg barangnya sama original, hrg lbh murah dan paylater lbh murh jg. trus koleksi barang terbatas, gk semua ada. nyari efek gitar aja susah variannya. pake bli2 klo kepepet aja. jd pilihan terakhir. ini cm masukan ya, jangan baper min.",1
aplikasi sangat bagus,5
"semoga bermanfaat,good 👍👍👍",5
"motede pembayaran terbatas. jika pke itu g bisa pke qris. jika beli produk tertentu g bisa pakai payment gopay, ovo ,qris.",1
susah daftarnya,1
aplikasi Sampahh... Pengiriman lamaa...,1
jos jos jos jos,5
sell singapore buy indonesia,5
Great aplication,5
belanja pertamaa dapat voucher dari blibli 50ribu.. maantap,5
bagus,5
mantap,5
pengiriman lama....,1
Blibli Aplikasi Terbaik 👍🏻,5
akun gw di blokir cuk,1
aplikasinya mantap baru pertma kali pakai mudah2an selamanya begini,5
tempat yang baik untuk mencari barang ori,5
Diperbaiki lagi searchbar barangnya agar hasil yang ditampilkan bisa sesuai dengan permintaan opsi barang yang diinginkan,4
belanja sering blibli pay later di tolak Mulu,1
"lama banget nyampenya, mana update pengirimannya ngestuck lagi,barang saya 5 hari belum nyampe-nyampe",1
"apk nya bagus ,, sayang nya gak ada fitur COD itu aja sich",5
aplikasinya banyak promo dan murah,5
suka eror,1
kecewa aku,5
terimakasih blilbli proses mudah dan cepat,5
mantap,5
"mantap, semua ada yang di cari",5
bagus dari Indonesia,5
Alhamdulillah....,5
coba belanja disini ah....tetap semangat ditengah persaingan,5
GOOD MANTAPP,5
BARU MAU COBA,5
buy Indonesia,5
"saya belum nerima paketnya status sudah terkirim, customer service nya ribet, tolong jawab ini gimana?",1
mahal banget biaya aplikasi atau biaya bayar nya gtu 2000,3
"saya sangat senang menggunakan aplikasi Blibli untuk berbelanja dengan adanya paylater juga.. tapi saya ada masukan untuk kurir baik dari manapun termasuk JNE dll, agar ada nmr tlpon yg bisa di hubungi karena pesanan saya sangat lambat sampai mau menghubungi susah gak ada nmr yg tertera. mohon untuk di tindak lanjuti terimakasih 🙏😊",5
sangat membantu,5
Proses refund lama.. pemilihan pengiriman berubah sendiri nya... beda sama emarket ijo. call center juga jawabamnya template.,1
mantap,5
"semoga kedepannya barang di blibli lebih banyak variasi lagi agar bisa sama kayak toko oren variasi ny tetapi tetap menjaga kualitas,ini aplilasi anak bangsa saya berharap ini menjadi top e-comers di indonesia untk sekarang barang yg mau di cari msih kurang tpi emng barang di blibli ori dan bagus semoga kedepannya jadi lebih baik ya blibli dan dengerin apa kata konsumen",5
aplikasinya bagus dan mudah,5
bagus,5
fery good,5
"tampilan bagus, ringan, dan produk sudah lumayan lengkap, nice lahh",5
bagus tidak bermasalah,5
bagus barang ori,5
ok,5
preftt,1
"aku pakek blibli agar bisa mendukung anak anak bangsa di Indonesia agar bisa mendukung produk lokal aplikasi nya tingkatin lagi ya kak sama di salah satu barang seperti skincare tolong cantumin ori nya, biar para pembeli yakin produk nya ori semangat terus blibli 🔥🔥🔥",5
semoga banyak diskon dan bisa langsung COD jadi diskon/promo+COD= bayar di tempat,5
mantap,5
"pinjaman di tolak. tolong data2 saya di hapus. apabila di kemudian hari data2 saya ada yang pakai/di salah gunakan mengakibatkan nama baik saya tercoreng,saya bahwa ke jalur hukum&ojk. terima kasih.",1
"ok, toop",5
mantap gais pengiriman cepat dan aman,5
mantap👍,5
"kurahap ini aplikasi gk kayak si hijau dan si Oren soalnya dua apk itu sudah mulai kikir pajak , biaya ini , biaya itu malas mau belanja",4
"I luv you, Indonesian",5
sumpah blibli refubdnya lama bgt 5-10hr kerja..gilaaaa..,1
spt bgs cm stiap mo co ga bs ya sdh 🙏,4
"toped semenjak dijajah tiktod makin ngaco, circle gw pada pindah blibli katanya lebih murah + dijamin ori 👍🏻 mantap blibli pertahanin kualitasnya, jangan terpengaruh antek antek aseng",5
jelek.. nyari barang loading muter² gak beres² padahal wifi lancar..,1
mantaappp...,5
"dari pengalaman saya memakai 3 apk sebelah tidak ada satupun paket yang gagal di ambil, lah ini udahlah pakek yang express bisa bisanya ada keterangan paket gagal di ambil padahal ini baru pengalaman pertama saya menggunakan apk ini, jujur kecewa padahal di apk sebelah biasanya lebih cepat dari estimasi barang datang itu pun pakai yang reguler, untuk saran saya mending ganti kurir yang express menggunakan jna atau jnt saja yang lebih profesional",1
semua produk yg ada di aplikasi ini harga nya tida wajar,1
senang dengan blibli banyak promonya,5
tolong kembalikan uang saya padahal saya belum instal aplikasi ini tapi kenapa tiba tiba saya berlangganan di aplikasi ini tolong di kembalikan uang saya secepatnya,1
pertama sih baik saja tapi pembelian ke 2 tanpa embel embel official store barang lama proses nya. mau di cancel.pertama kata csnya tidak bisa karena mengunakan qris. lucu ya ada ecomer cs nya bicara seperti ini. di tempat lain org mau cancel sat set dan dana masuk kembali ke dompet digital .baru nanti kita tarik ke rekening masing masing. lha ini org mau cancel karena pengiriman lelet dan belum tentu di kirim ..dan setelah di proses refun pun ngak sat set seperti lainnya .proses lelet sekali,1
aplikasi ribet mau top up bliblipay pay ajh harus update dulu blibli x by blu... pantes ajh kalah sama platform lain,1
mantap,5
"padahal selalu bayar sebelum jatuh tempo,pay later nya juga tidak pernah lewat jatuh tempo tapi pas mau belanja lagi paylater di tangguhkan,ga jelas.",1
suka eror,5
"saya kapok beli di aplikasi blibli, untuk kompplain barang ribeut & status pengembalian juga dari tgl 2 sampe sekarang susah bangeut, uang 1,7 juta gak tau mau kmna, apakah di balik kan lagi ke saya atau mereka makan, SAYA DI SINI TIDAK MAU LAGI BELI DI APLIKASI BLIBLI RIBEUT, GAK KAYA SHOPPE TOKOPEDIA TIKTOK, MAAF SAYA KASIH 1 BINTANG",1
apk kurang bagus,1
mau tanya apa aplikasi ini bisa untuk belanja online. udah saya instal kenapa gk bisa di buka,5
Mantap,5
baru pertama kali order di aplikasi ini langsung dapat pengalaman tidak nyaman paket saya tertunda saya sudah estimasi tibanya datang tanggal 4-6 juni ini sudah tanggal 6 Juni tapi paket saya masih belum tiba,2
"aplikasi apaan ini capee blom bisa akses halaman ini trus aja ke gitu lama"" uninstall ni aplikasi",1
mantappp,5
"agen lelet, ngantri ke agen lama. peraturan pengiriman instant kaya pengiriman regular.",1
karena baru pertama belanja di sini jadi saya kasih bintang 3 dulu dan kalo bisa walau pertama kali belanja bisa pembayaran cod juga dong,3
good,5
mantab Blibli,5
aplikasi yang sangat ketinggalan jaman.,1
sangat suka,5
kereeen gak kaya apl sebelah ribet🙏🙏🙏,5
mantap,5
sangat mudah menggunakan metode aplikasi ini,5
tampilan yang elegan,5
pertama kali cekout semoga aman,5
💯,4
"Customer care blibli nya mohon di tambah lagi. masa untuk chat harus menunggu 18 orang (antrian) dan itu bisa satu jam. sedangkan jika aku meninggalkan ponsel ketika antrian ku sampai, maka chat akan diakhiri dan harus menunggu lagi.",3
sangat membantu,5
jarang diskon bayar tagihan mahal pakai paylayer jarang saya pakai akhirnya,1
luar biasa,5
mantap very good,5
"setiap mau masuk , tidak bisa terdeteksi .... mohon di perbaiki",3
mantap betul,5
mudah di pahami,5
Blili terbaik,5
"tolong kasih kode otp nya, dana saya ngestuk karna kode otp belum di berikan 1 bulan pntk",1
mantul,5
akurasi paket datang buruk darj 2 hari datang malah 2 mingu,3
"ONGKIR MAHAL, PELIT VOUCHER, PENGIRIMAN LAMA. OLSHOP KIKIR INI !",1
Mantull,5
"Aplikasi mudah digunakan, banyak promo menarik",5
Alhamdulillah sangat membatu,5
sukaaaaa,5
point expired tanpa pemberitahuan apapun,1
ok,5
mantap di dukung dg HCI yang cepat,5
baru buka akun blibi belanja online di refund sma seler nya yang bgtu lama saldo masuk bliby saya tf ke rek sendiri kena potongan 2500 proses 3 hari saldo berkurang dri blibi dana blm masuk rek. kacau sekali ini aplikasi sumpah shopee gak parah sperti i i,2
ok,5
mantap sangat mmbntu,5
"e-commerce terbaik, mau nyari apapun aja ada gak kaya di oren/ijo. Top lah, Blibli 👍",5
setiap beliii. selalu aja pengirimannya lama bngt,1
"pertahankan,...👍",5
keren,5
"pelit banget sama voucher, poin bisa dipakai kalau diatas 10.000. karena harga mahal jadi koin hangus. Pelit voucher tapi spam terus di email, ga ada manfaatnya, ga ada gunanya sama sekali spam2 email, ga bisa belanja juga. sudah pernah lapor CS ga bisa bantu juga, apa gunanya CS, eskalasi aja ga mau",1
bagus,5
Mantap daah..,5
"bug ulasan, gak bisa dibatalkan, scrol pesanan tau² masuk menu ulas produk, di back gak bisa, di tutup paksa aplikasi bliblinya dan pas di cek di riwayat ulasan udh keisi otomatis 👎...",1
"bintang 1 dulu, kebijakan retur nya kacau",1
terimakasih banyak blibli mempermudah usaha saya,5
hati2 blibli barang mau exp bukan di buang malah di jual hati2 kawan jangan sampai terkecoh harga,1
"Mantap, belanja lebih mudah melalui aplikasi Blibli",5
"BUG ULASAN, scrol2 pesanan tau2 masuk kasih ulasan dan saat di back dipaksa ngasih ULASAN BINTANG, apk sengaja di tutup pas di cek lagi diriwayat ulasan nya keisi bintang 1/2/3/4/5 BUG sendiri...PARAHHHH",1
udh lama GK pake blibi sekalinya mau pke blibi history toko biasa blnja barang di blibi kga ada.bekas pembelian.bahkan chat dengan seller ilang semua.kocak juga nih blibi..,1
mudah untuk transaksi semoga amanah,4
makin keren.. disuruh instal ulang sama suami... saran aja si smoga ga pake ekspedisi antaraja sma ninja express... soalnya di daerahku kurir nya ga amanah...,5
sangat bagus,5
Bagus dan tersedia banyak pilihan barang-barang kebutuhan dengan kualitas terjamin.,5
"e comerce kurang rame, DREAM-ON habis ratusan ribu poin gk pernah dapat juga, diskon dan promo juga tidak tidak pernah ada yg besar.",1
"status refund diajukan terus,ga berubah ke proses dan malah 5-10hr kerja. Lama banget biasanya dalam hitungan menit sudah selesai malah saya pakai paylater.",1
Mantab betull,5
manstap,5
Membantu banget dalam mencari kebutuhan pokok. terimakasih Blibli. 🙏,5
login akun aja gk bisa keteranganya server dalam perbaikan terus..tplon cs ..chat cs dh 1 mnggu gk ada sampai sekrng belum ada kemajuan,3
good job,5
di toko OREN gak lengkap (dibatasi) di sini lengkap dan ada paylater sangat sangat membantu,5
oke banget,5
saran untuk promo dan voucher kalo bisa d kurangin lagi persyaratan nya karna percuma juga kalo banyak promo banyak voucher tp gk bisa dipakai juga...,5
sangat bagus,5
mantap,5
"Tidak bisa membatalkan pesanan padahal barang blm dikemas, masih nunggu konfirmasi penjual",1
